player_id,yr,pa,ab,r,h,_1b,_2b,_3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
canhama01,2018,411,365,60,91,52,22,0,17,52,1,2,34,88,3,10,0,2,11
canhama01,2019,497,410,80,112,67,16,3,26,58,3,2,67,107,1,18,0,2,10
cannigr01,2019,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
canoro01,2016,715,655,107,195,121,33,2,39,103,0,1,47,100,8,8,0,5,18
canoro01,2017,648,592,79,166,110,33,0,23,97,1,0,49,85,8,4,0,3,18
canoro01,2018,348,310,44,94,62,22,0,10,50,0,0,32,47,2,4,0,2,9
canoro01,2019,423,390,46,100,59,28,0,13,39,0,0,25,69,3,5,0,3,16
cappsca01,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capuach01,2016,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
carasma01,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carasma01,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caratvi01,2017,66,59,6,15,11,3,0,1,2,0,0,4,13,1,3,0,0,3
caratvi01,2018,200,181,21,42,33,7,0,2,21,0,0,12,42,0,4,2,1,5
caratvi01,2019,279,244,31,65,43,11,0,11,34,1,0,29,59,0,3,0,3,6
cardust01,2016,59,56,5,12,6,3,1,2,6,0,0,3,12,0,0,0,0,2
cardust01,2017,32,28,2,4,4,0,0,0,3,0,0,3,7,0,1,0,0,0
carlesh01,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carlesh01,2018,5,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
carlesh01,2019,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
carmofa01,2016,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
carpeda01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carpema01,2016,566,473,81,128,65,36,6,21,68,0,4,81,108,6,5,3,4,4
carpema01,2017,622,497,91,120,64,31,2,23,69,2,1,109,125,4,9,2,5,5
carpema01,2018,676,564,111,145,67,42,0,36,81,4,1,102,158,17,6,0,4,0
carpema01,2019,492,416,59,94,57,20,2,15,46,6,1,63,129,0,7,1,5,3
